layer,group,n_classes,n_samples,intra_obs,inter_obs,gdv_obs,rank,p_rank,n_perm,null_mean,null_sd,null_p2p5,null_p50,null_p97p5,classes_present,layer_idx,q_fdr_all,q_fdr_group
BERT-base_layer_01,all,11,1092,0.3508229110163367,0.7073019397761681,-0.3564790287598313,1,9.999000099990002e-05,10000,-1.267378017189255e-05,0.0009310811607745,-0.0020826823612462,7.57406861635326e-05,0.0015363244443065,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,1,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_02,all,11,1092,0.3672881536032643,0.714160076097094,-0.3468719224938296,1,9.999000099990002e-05,10000,-1.0875424146199116e-05,0.0008103177710086,-0.0017915975743488,6.800757733162958e-05,0.0013618643386686,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,2,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_03,all,11,1092,0.3161483775790319,0.7236631769343363,-0.4075147993553044,1,9.999000099990002e-05,10000,-1.039653301297002e-05,0.0007504787203039,-0.0016519230487044,4.30846888158066e-05,0.0012862413470679,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,3,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_04,all,11,1092,0.3565799143845879,0.7255646074322432,-0.3689846930476552,1,9.999000099990002e-05,10000,-9.303195587934052e-06,0.0006455035334475,-0.0014098499916876,3.792808137153796e-05,0.0011134288945717,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,4,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_05,all,11,1092,0.4041044445059463,0.7242358483757919,-0.3201314038698455,1,9.999000099990002e-05,10000,-8.60516379185801e-06,0.0005704067111279,-0.0012424408424616,2.8655759172992573e-05,0.0009840799216037,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,5,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_06,all,11,1092,0.4401576453193043,0.722985935080076,-0.2828282897607716,1,9.999000099990002e-05,10000,-7.273921358311794e-06,0.0005157351660804,-0.001125033971428,2.7909663957582236e-05,0.0008946442249102,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,6,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_07,all,11,1092,0.4851104332670951,0.7212049029115906,-0.2360944696444954,1,9.999000099990002e-05,10000,-5.778019575999136e-06,0.0004430965042201,-0.0009678512190549,2.507979633349999e-05,0.0007723408207834,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,7,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_08,all,11,1092,0.5246262126986788,0.7191116488212898,-0.1944854361226109,1,9.999000099990002e-05,10000,-5.1003682717578125e-06,0.0003792500845882,-0.0008274638542833,2.1491270899475217e-05,0.0006640119688393,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,8,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_09,all,11,1092,0.5559287251006205,0.7172087074951307,-0.1612799823945102,1,9.999000099990002e-05,10000,-5.601078153716904e-06,0.0003272859813748,-0.0007076882798362,1.819487819769428e-05,0.0005740277535738,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,9,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_10,all,11,1092,0.5741160551458883,0.7163635635565332,-0.1422475084106448,1,9.999000099990002e-05,10000,-5.31611442995052e-06,0.0002956313184706,-0.0006336751425608,1.4474343047201235e-05,0.0005180406219752,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,10,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_11,all,11,1092,0.5755668660293585,0.7160839738473649,-0.1405171078180065,1,9.999000099990002e-05,10000,-5.646400867565744e-06,0.0002957279767654,-0.0006340114270596,1.3564656551155762e-05,0.0005137819208274,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,11,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_12,all,11,1092,0.5722356911599791,0.7152271210701749,-0.1429914299101958,1,9.999000099990002e-05,10000,-4.685317265446744e-06,0.0003026581737265,-0.0006445556029752,1.4971232710978718e-05,0.0005300087106754,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,12,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_01,come,3,300,0.6399577599204644,0.7298627970681386,-0.089905037147674,1,9.999000099990002e-05,10000,4.816371473434894e-06,0.0007970474366693,-0.0017991818154364,9.756750358291648e-05,0.0013054110284774,come_back;come_in;come_out,1,9.999000099990002e-05,9.999000099990002e-05
