layer,group,n_classes,n_samples,intra_obs,inter_obs,gdv_obs,rank,p_rank,n_perm,null_mean,null_sd,null_p2p5,null_p50,null_p97p5,classes_present,layer_idx,q_fdr_all,q_fdr_group
CxG_layer_03_2-10000,come,3,300,0.6902004366044417,0.7099273775103753,-0.0197269409059335,1,9.999000099990002e-05,10000,2.135067953258843e-06,0.0005665586537226,-0.0012611285039116,6.499904745011243e-05,0.0009491182317261,come_back;come_in;come_out,3,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_04_2-10000,come,3,300,0.6908991541142331,0.7093625117563813,-0.0184633576421482,1,9.999000099990002e-05,10000,2.634356069594226e-06,0.0005889603466016,-0.0013105811639534,6.051617774899701e-05,0.000985783191728,come_back;come_in;come_out,4,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_05_2-10000,come,3,300,0.6699385759758362,0.7191023915547363,-0.0491638155789,1,9.999000099990002e-05,10000,4.446127937260411e-06,0.000580944680837,-0.0012963553799301,6.592800205432544e-05,0.0009616865083024,come_back;come_in;come_out,5,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_06_2-10000,come,3,300,0.6447694447734832,0.7301480133530612,-0.0853785685795781,1,9.999000099990002e-05,10000,5.069567281512003e-06,0.0006377033743434,-0.0014775415740106,8.602804548267697e-05,0.0010125693348507,come_back;come_in;come_out,6,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_07_2-10000,come,3,300,0.6343655407142932,0.7345881924001921,-0.100222651685899,1,9.999000099990002e-05,10000,2.621777684532368e-06,0.0006782629109472,-0.0016438361043869,0.0001016006619908,0.0010370267931632,come_back;come_in;come_out,7,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_08_2-10000,come,3,300,0.6503089247017433,0.7284480924551742,-0.0781391677534308,1,9.999000099990002e-05,10000,-1.6247997623857454e-06,0.0006057645123116,-0.0014260389073162,7.648020743153015e-05,0.0009518002685274,come_back;come_in;come_out,8,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_09_2-10000,come,3,300,0.6634351215805543,0.7248654895231148,-0.0614303679425605,1,9.999000099990002e-05,10000,-3.0964564762152997e-06,0.0005031831611212,-0.0011601994385343,5.244693586523431e-05,0.0008134880740331,come_back;come_in;come_out,9,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_10_2-10000,come,3,300,0.6634351215805543,0.7248654895231148,-0.0614303679425605,1,9.999000099990002e-05,10000,-3.0964564762152997e-06,0.0005031831611212,-0.0011601994385343,5.244693586523431e-05,0.0008134880740331,come_back;come_in;come_out,10,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_11_2-10000,come,3,300,0.667682512848044,0.7225619035596323,-0.0548793907115882,1,9.999000099990002e-05,10000,-2.912033591874635e-06,0.0004702107378701,-0.0010784975220623,5.020008116440793e-05,0.000761416537394,come_back;come_in;come_out,11,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_12_2-10000,come,3,300,0.670145545078363,0.7199469445467228,-0.0498013994683597,1,9.999000099990002e-05,10000,-2.3167340533584728e-06,0.0004431596195286,-0.0010116904308369,3.993952729002245e-05,0.000728548191101,come_back;come_in;come_out,12,9.999000099990002e-05,9.999000099990002e-05
